'sample interval','ax','ay','az','temp','EDA'
'0.125 sec','NU','NU','NU','degC','NU'
0,0.42995392,-1.01999178,-0.08003998,27.00006867,0.42506021
1,0.41998810,-1.01999178,-0.07004120,27.00006867,0.42506021
2,0.41998810,-1.01999178,-0.08003998,27.00006867,0.42506021
3,0.41998810,-1.01999178,-0.07004120,27.00006867,0.42506021
4,0.41998810,-1.01999178,-0.08003998,27.00006867,0.42506021
5,0.40997482,-1.01999178,-0.07004120,27.00006867,0.42408449
6,0.40997482,-1.01999178,-0.08003998,27.00006867,0.42506021
7,0.41998810,-1.01999178,-0.07004120,27.00006867,0.42408449
8,0.40997482,-1.01999178,-0.07004120,27.00006867,0.42506021
9,0.40997482,-1.01999178,-0.07004120,27.00006867,0.42506021
10,0.40997482,-1.00999471,-0.07004120,27.00006867,0.42506021
11,0.39996155,-1.01999178,-0.09003876,27.00006867,0.42807608
12,0.40997482,-1.01999178,-0.08003998,27.00006867,0.42506021
13,0.40997482,-1.01999178,-0.06004242,27.00006867,0.42506021
14,0.40997482,-1.02998885,-0.08003998,27.00006867,0.42506021
15,0.40997482,-1.01999178,-0.09003876,27.00006867,0.42506021
16,0.41998810,-1.01999178,-0.07004120,27.00006867,0.42506021
17,0.43996719,-1.02998885,-0.07004120,27.00006867,0.42506021
18,0.40997482,-1.01999178,-0.07004120,27.00006867,0.42506021
19,0.40997482,-1.01999178,-0.08003998,27.00006867,0.42506021
20,0.41998810,-1.01999178,-0.06004242,27.00006867,0.42506021
21,0.41998810,-1.01999178,-0.07004120,27.00006867,0.42506021
22,0.40997482,-1.01999178,-0.07004120,27.00006867,0.42701166
23,0.41998810,-1.01999178,-0.07004120,27.00006867,0.42408449
24,0.41998810,-1.01999178,-0.07004120,27.00006867,0.42506021
25,0.41998810,-1.01999178,-0.08003998,27.00006867,0.42506021
26,0.41998810,-1.01999178,-0.07004120,27.00006867,0.42408449
27,0.41998810,-1.01999178,-0.07004120,27.00006867,0.42506021
28,0.41998810,-1.01999178,-0.07004120,27.00006867,0.42506021
29,0.41998810,-1.01999178,-0.07004120,27.00006867,0.42506021
30,0.40997482,-1.01999178,-0.07004120,27.00006867,0.42506021
31,0.41998810,-1.01999178,-0.07004120,27.00006867,0.42408449
32,0.41998810,-1.01999178,-0.07004120,27.00006867,0.42506021
33,0.41998810,-1.01999178,-0.07004120,27.20000305,0.42506021
