'sample interval','SpO2','hr'
'1 sec','%','bpm'
0,96.99996948,70.00056459
1,96.99996948,68.00007630
2,96.99996948,68.00007630
3,96.99996948,69.00032044
4,96.99996948,71.00080874
5,96.99996948,71.00080874
6,96.99996948,74.00067141
7,96.99996948,74.00067141
8,96.99996948,75.00004578
9,96.00000000,73.00042726
10,96.00000000,73.00042726
11,96.00000000,73.00042726
12,96.00000000,73.00042726
13,96.00000000,74.00067141
14,96.00000000,74.00067141
15,96.00000000,75.00004578
16,96.00000000,77.00053407
17,96.00000000,78.00077822
18,96.00000000,77.00053407
19,96.00000000,76.00028993
20,96.00000000,76.00028993
21,96.00000000,75.00004578
22,96.00000000,75.00004578
23,96.00000000,76.00028993
24,96.00000000,76.00028993
25,96.00000000,77.00053407
26,96.00000000,77.00053407
27,96.00000000,76.00028993
28,96.00000000,75.00004578
29,96.00000000,73.00042726
30,96.00000000,71.00080874
31,96.00000000,70.00056459
32,96.00000000,68.00007630
33,96.00000000,67.00070193
34,96.00000000,66.00045778
35,96.00000000,66.00045778
36,96.00000000,66.00045778
37,96.00000000,66.00045778
38,96.00000000,67.00070193
39,96.00000000,67.00070193
40,96.00000000,68.00007630
41,96.00000000,68.00007630
42,96.00000000,68.00007630
43,96.00000000,70.00056459
44,96.00000000,70.00056459
45,96.99996948,70.00056459
46,96.00000000,71.00080874
47,96.00000000,71.00080874
48,96.00000000,72.00018311
49,96.00000000,72.00018311
50,96.00000000,71.00080874
51,96.00000000,70.00056459
52,96.00000000,70.00056459
53,96.00000000,69.00032044
54,96.00000000,71.00080874
55,96.00000000,71.00080874
56,96.00000000,72.00018311
57,96.00000000,71.00080874
58,96.00000000,71.00080874
59,96.00000000,70.00056459
60,96.00000000,69.00032044
61,96.00000000,69.00032044
62,96.00000000,69.00032044
63,96.00000000,69.00032044
64,96.00000000,69.00032044
65,96.00000000,71.00080874
66,96.00000000,72.00018311
67,96.00000000,72.00018311
68,96.00000000,73.00042726
69,96.00000000,72.00018311
70,96.00000000,72.00018311
71,96.00000000,72.00018311
72,96.00000000,72.00018311
73,96.00000000,72.00018311
74,96.00000000,74.00067141
75,96.00000000,75.00004578
76,96.00000000,74.00067141
77,96.00000000,74.00067141
78,96.00000000,74.00067141
79,96.00000000,74.00067141
80,96.00000000,74.00067141
81,96.00000000,75.00004578
82,96.00000000,79.00015259
83,96.00000000,79.00015259
84,96.00000000,81.00064089
85,96.00000000,79.00015259
86,96.00000000,77.00053407
87,96.00000000,77.00053407
88,96.00000000,76.00028993
89,96.00000000,75.00004578
90,96.00000000,74.00067141
91,96.00000000,73.00042726
92,96.00000000,73.00042726
93,96.00000000,73.00042726
94,96.00000000,73.00042726
95,96.00000000,73.00042726
96,96.00000000,73.00042726
97,96.00000000,72.00018311
98,96.00000000,71.00080874
99,96.00000000,70.00056459
100,96.00000000,69.00032044
101,96.00000000,71.00080874
102,96.00000000,71.00080874
103,96.00000000,72.00018311
104,96.00000000,71.00080874
105,96.00000000,71.00080874
106,96.00000000,70.00056459
107,96.00000000,71.00080874
108,96.00000000,73.00042726
109,96.00000000,73.00042726
110,96.00000000,73.00042726
111,96.00000000,72.00018311
112,96.00000000,70.00056459
113,96.00000000,69.00032044
114,96.00000000,68.00007630
115,96.00000000,67.00070193
116,96.00000000,69.00032044
117,96.00000000,70.00056459
118,96.00000000,71.00080874
119,96.00000000,71.00080874
120,96.00000000,72.00018311
121,96.00000000,71.00080874
122,96.00000000,70.00056459
123,96.00000000,69.00032044
124,96.00000000,67.00070193
125,96.00000000,67.00070193
126,96.00000000,66.00045778
127,96.00000000,67.00070193
128,96.00000000,68.00007630
129,96.00000000,70.00056459
130,96.00000000,71.00080874
131,96.00000000,70.00056459
132,96.00000000,70.00056459
133,96.00000000,70.00056459
134,96.00000000,70.00056459
135,96.00000000,71.00080874
136,96.00000000,73.00042726
137,96.00000000,73.00042726
138,96.00000000,75.00004578
139,96.00000000,75.00004578
140,96.00000000,76.00028993
141,96.00000000,76.00028993
142,96.00000000,74.00067141
143,96.00000000,74.00067141
144,96.00000000,72.00018311
145,96.00000000,72.00018311
146,96.00000000,72.00018311
147,96.00000000,72.00018311
148,96.00000000,70.00056459
149,96.00000000,68.00007630
150,96.00000000,67.00070193
151,96.00000000,66.00045778
152,96.00000000,66.00045778
153,96.00000000,67.00070193
154,96.00000000,67.00070193
155,96.00000000,68.00007630
156,96.00000000,69.00032044
157,96.00000000,70.00056459
158,96.00000000,70.00056459
159,96.00000000,70.00056459
160,96.00000000,71.00080874
161,96.00000000,71.00080874
162,96.00000000,70.00056459
163,96.00000000,70.00056459
164,96.00000000,71.00080874
165,96.00000000,71.00080874
166,96.00000000,70.00056459
167,96.00000000,70.00056459
168,96.00000000,71.00080874
169,96.00000000,72.00018311
170,96.00000000,72.00018311
171,96.00000000,72.00018311
172,96.00000000,73.00042726
173,96.00000000,73.00042726
174,96.00000000,73.00042726
175,95.00003052,73.00042726
176,95.00003052,73.00042726
177,95.00003052,73.00042726
178,96.00000000,72.00018311
179,96.00000000,72.00018311
180,96.00000000,73.00042726
181,96.00000000,74.00067141
182,96.00000000,74.00067141
183,96.00000000,75.00004578
184,96.00000000,76.00028993
185,96.00000000,75.00004578
186,96.00000000,74.00067141
187,96.00000000,74.00067141
188,96.00000000,74.00067141
