'sample interval','ax','ay','az','temp','EDA'
'0.125 sec','NU','NU','NU','degC','NU'
0,0.44996796,-1.00996857,-0.04000366,27.00006409,3.25101413
1,0.43999268,-1.01998718,-0.04000366,27.00006409,3.25605237
2,0.44996796,-1.01998718,-0.05000458,27.00006409,3.25605237
3,0.44996796,-1.00996857,-0.04000366,27.00006409,3.25605237
4,0.43999268,-1.00996857,-0.05000458,27.00006409,3.25605237
5,0.44996796,-1.00996857,-0.06000549,27.00006409,3.25605237
6,0.44996796,-0.99998535,-0.02000183,27.00006409,3.25605237
7,0.44996796,-0.99998535,-0.05000458,27.20000763,3.25101413
8,0.44996796,-1.00996857,-0.04000366,27.20000763,3.25605237
9,0.45997925,-1.00996857,-0.04000366,27.20000763,3.25605237
10,0.45997925,-1.00996857,-0.04000366,27.20000763,3.27908432
11,0.44996796,-1.02997040,-0.04000366,27.00006409,3.25605237
12,0.43001740,-1.01998718,-0.04000366,27.00006409,3.25605237
13,0.41003082,-1.01998718,-0.04000366,27.20000763,3.27908432
14,0.31002594,-0.99998535,0.00000000,27.20000763,3.25605237
15,0.40001953,-1.00996857,-0.02000183,27.20000763,3.25605237
16,0.41003082,-1.01998718,-0.03000275,27.00006409,3.25605237
17,0.49998840,-1.11999634,-0.11001007,27.20000763,3.25605237
18,0.39000824,-1.07999268,-0.11001007,27.00006409,3.25605237
19,0.46999054,-1.00996857,0.08996399,27.20000763,3.25605237
20,0.38003296,-0.87997436,0.19997406,27.20000763,3.27908432
21,-0.01998657,-0.92999664,0.19997406,27.20000763,3.27908432
22,0.10000488,-1.05999084,0.21997589,27.00006409,3.27908432
23,-0.06997101,-1.04997223,0.26998047,27.20000763,3.27908432
24,-0.14998932,-0.94999847,0.19997406,27.20000763,3.27908432
25,-0.15996460,-0.96996490,0.20997497,27.20000763,3.27908432
26,-0.27999207,-0.92999664,0.32998596,27.20000763,3.27908432
27,-0.20998505,-0.74998016,0.12996765,27.20000763,3.27908432
28,-0.23998291,-1.42997162,-0.35998871,27.20000763,3.27908432
29,0.12002747,-0.99998535,0.00000000,27.20000763,3.30805420
30,0.19003449,-1.11999634,0.07996307,27.20000763,3.31300247
31,0.22003235,-1.09999451,-0.03000275,27.20000763,3.33603442
32,0.16000061,-1.01998718,0.03995941,27.20000763,3.33603442
33,0.21002106,-1.03998901,0.02995849,27.20000763,3.33603442
34,0.20000977,-1.03998901,0.01995758,27.20000763,3.33603442
35,0.21002106,-1.00996857,0.00000000,27.20000763,3.34206232
36,0.27001679,-1.04997223,0.00000000,27.20000763,3.33603442
37,0.28002808,-1.03998901,0.00995666,27.20000763,3.33603442
38,0.30001465,-1.02997040,0.00995666,27.20000763,3.33603442
39,0.22003235,-1.06997406,0.00000000,27.20000763,3.33603442
40,0.39000824,-0.94999847,0.03995941,27.20000763,3.33603442
41,0.31002594,-1.02997040,0.02995849,27.20000763,3.34206232
42,0.33001251,-1.03998901,0.00000000,27.20000763,3.33603442
43,0.35003510,-0.99998535,0.00000000,27.20000763,3.33603442
44,0.47996582,-1.05999084,0.00000000,27.20000763,3.33603442
45,0.44996796,-0.99998535,0.01995758,27.20000763,3.33603442
46,0.46999054,-1.00996857,0.00995666,27.20000763,3.33603442
47,0.44996796,-1.00996857,0.00000000,27.20000763,3.33603442
48,0.44996796,-1.00996857,0.00000000,27.20000763,3.33603442
49,0.45997925,-1.00996857,0.00000000,27.20000763,3.34206232
50,0.45997925,-0.99998535,0.00000000,27.20000763,3.34206232
51,0.46999054,-1.00996857,0.00995666,27.20000763,3.33603442
52,0.45997925,-0.99998535,0.00000000,27.20000763,3.34206232
53,0.45997925,-0.99998535,0.00000000,27.20000763,3.34206232
54,0.45997925,-0.99998535,-0.01000092,27.20000763,3.34206232
55,0.45997925,-0.99998535,0.00000000,27.20000763,3.34206232
56,0.47996582,-0.99998535,0.00000000,27.20000763,3.34206232
57,0.47996582,-0.99998535,0.00000000,27.40005646,3.34206232
58,0.47996582,-0.99998535,0.00000000,27.20000763,3.34206232
59,0.46999054,-0.99998535,0.00000000,27.20000763,3.34206232
60,0.46999054,-0.99998535,0.00000000,27.40005646,3.34206232
61,0.48997711,-0.99998535,0.00000000,27.20000763,3.34206232
62,0.48997711,-0.99998535,0.00000000,27.20000763,3.34206232
63,0.48997711,-0.99998535,0.00000000,27.20000763,3.34206232
64,0.47996582,-0.99998535,0.00000000,27.20000763,3.34206232
65,0.48997711,-0.99998535,0.00000000,27.20000763,3.34206232
66,0.48997711,-0.99998535,0.00000000,27.40005646,3.34206232
67,0.48997711,-0.99998535,0.00000000,27.20000763,3.36608393
68,0.48997711,-0.99998535,0.00000000,27.20000763,3.34206232
69,0.47996582,-0.99998535,0.00000000,27.20000763,3.36608393
70,0.48997711,-0.99998535,0.00000000,27.20000763,3.34206232
71,0.48997711,-0.99998535,0.00000000,27.20000763,3.34206232
72,0.48997711,-0.99998535,0.00000000,27.40005646,3.36608393
