'sample interval','SpO2','hr'
'1 sec','%','bpm'
0,96.99987793,102.99935911
1,96.99987793,102.99935911
2,95.99981689,102.99935911
3,95.99981689,100.99978637
4,94.99975585,97.99957274
5,94.99975585,96.00000000
6,95.99981689,95.00021363
7,95.99981689,92.00000000
8,95.99981689,90.00042726
9,95.99981689,90.00042726
10,95.99981689,92.00000000
11,95.99981689,94.00042726
12,95.99981689,95.00021363
13,94.99975585,93.00064089
14,94.99975585,92.00000000
15,94.99975585,91.00021363
16,94.99975585,88.00000000
17,94.99975585,87.00021363
18,94.99975585,85.00064089
19,94.99975585,85.00064089
20,94.99975585,84.00000000
21,95.99981689,83.00021363
22,95.99981689,83.00021363
23,94.99975585,85.00064089
24,94.99975585,85.00064089
25,94.99975585,85.00064089
26,96.99987793,85.00064089
27,96.99987793,86.00042726
28,95.99981689,91.00021363
29,96.99987793,92.00000000
30,96.99987793,94.00042726
31,95.99981689,95.00021363
32,95.99981689,95.00021363
33,95.99981689,96.00000000
34,95.99981689,95.00021363
35,95.99981689,94.00042726
36,95.99981689,93.00064089
37,95.99981689,92.00000000
38,95.99981689,91.00021363
39,95.99981689,86.00042726
40,95.99981689,84.00000000
41,94.99975585,83.00021363
42,94.99975585,82.00042726
43,94.99975585,81.00064089
44,94.99975585,82.00042726
45,94.99975585,78.00042726
46,94.99975585,78.00042726
47,94.99975585,79.00021363
48,94.99975585,78.00042726
49,94.99975585,78.00042726
50,94.99975585,79.00021363
51,94.99975585,80.00000000
52,94.99975585,79.00021363
53,94.99975585,80.00000000
54,94.99975585,80.00000000
55,94.99975585,79.00021363
56,94.99975585,79.00021363
57,94.99975585,79.00021363
58,94.99975585,79.00021363
59,94.99975585,79.00021363
60,94.99975585,80.00000000
61,94.99975585,82.00042726
62,94.99975585,82.00042726
63,94.99975585,84.00000000
64,94.99975585,84.00000000
65,94.99975585,84.00000000
66,94.99975585,84.00000000
67,94.99975585,84.00000000
68,94.99975585,84.00000000
69,94.99975585,84.00000000
70,94.99975585,83.00021363
71,94.99975585,83.00021363
72,94.99975585,82.00042726
73,94.99975585,81.00064089
74,94.99975585,81.00064089
75,94.99975585,80.00000000
76,94.99975585,81.00064089
77,94.99975585,81.00064089
78,94.99975585,80.00000000
79,94.99975585,80.00000000
80,94.99975585,82.00042726
81,94.99975585,83.00021363
82,94.99975585,83.00021363
83,94.99975585,85.00064089
84,94.99975585,86.00042726
85,94.99975585,89.00064089
86,94.99975585,91.00021363
87,94.99975585,91.00021363
88,94.99975585,92.00000000
89,94.99975585,92.00000000
90,94.99975585,92.00000000
91,94.99975585,91.00021363
92,94.99975585,91.00021363
93,94.99975585,91.00021363
94,94.99975585,91.00021363
95,94.99975585,92.00000000
96,94.99975585,92.00000000
97,94.99975585,91.00021363
98,94.99975585,92.00000000
99,94.99975585,91.00021363
100,95.99981689,91.00021363
101,94.99975585,91.00021363
102,94.99975585,90.00042726
103,94.99975585,87.00021363
104,94.99975585,83.00021363
105,94.99975585,81.00064089
106,94.99975585,80.00000000
107,94.99975585,81.00064089
108,94.99975585,78.00042726
109,94.99975585,78.00042726
110,94.99975585,78.00042726
111,94.99975585,77.00064089
112,94.99975585,74.00042726
113,94.99975585,74.00042726
114,94.99975585,74.00042726
115,94.99975585,73.00064089
116,94.99975585,74.00042726
117,94.99975585,73.00064089
118,94.99975585,71.00021363
119,94.99975585,71.00021363
120,94.99975585,72.00000000
121,94.99975585,71.00021363
122,94.99975585,70.00042726
123,94.99975585,72.00000000
124,94.99975585,72.00000000
125,94.99975585,72.00000000
126,94.99975585,73.00064089
127,94.99975585,74.00042726
128,94.99975585,76.00000000
129,94.99975585,76.00000000
130,94.99975585,79.00021363
131,94.99975585,79.00021363
132,94.99975585,79.00021363
133,94.99975585,78.00042726
134,94.99975585,79.00021363
135,94.99975585,80.00000000
136,94.99975585,80.00000000
137,94.99975585,82.00042726
138,94.99975585,84.00000000
139,94.99975585,84.00000000
140,94.99975585,87.00021363
141,94.99975585,87.00021363
142,94.99975585,87.00021363
143,94.99975585,88.00000000
144,94.99975585,88.00000000
145,94.99975585,88.00000000
146,94.99975585,88.00000000
147,94.99975585,89.00064089
148,94.99975585,89.00064089
149,94.99975585,89.00064089
150,94.99975585,90.00042726
151,94.99975585,90.00042726
152,94.99975585,89.00064089
153,94.99975585,88.00000000
154,94.99975585,88.00000000
155,94.99975585,88.00000000
156,94.99975585,87.00021363
157,94.99975585,87.00021363
158,94.99975585,87.00021363
159,94.99975585,87.00021363
160,94.99975585,88.00000000
161,94.99975585,90.00042726
162,94.99975585,91.00021363
163,94.99975585,93.00064089
164,94.99975585,94.00042726
165,94.99975585,94.00042726
166,94.99975585,95.00021363
167,94.99975585,94.00042726
168,94.99975585,93.00064089
169,94.99975585,93.00064089
170,94.99975585,92.00000000
171,94.99975585,91.00021363
172,94.99975585,89.00064089
173,94.99975585,87.00021363
174,94.99975585,85.00064089
175,94.99975585,84.00000000
176,94.99975585,83.00021363
